population,family,symbol,direction,clock_bucket,family_n,family_1R,family_2R,other_families_n,other_1R,other_2R
PRIMARY_20,STRAT_222_REVERSAL,AAPL,LONG,early_14:30-16:00,1,1,0,4,3,1
PRIMARY_20,STRAT_212_REVERSAL,AAPL,LONG,early_14:30-16:00,1,1,0,4,3,1
PRIMARY_20,OTHER:strat_122,AAPL,LONG,early_14:30-16:00,1,1,0,4,3,1
PRIMARY_20,OTHER:strat_22_continuation,AAPL,LONG,early_14:30-16:00,1,0,0,4,4,1
PRIMARY_20,STRAT_212_CONTINUATION,AAPL,LONG,early_14:30-16:00,1,1,1,4,3,0
PRIMARY_20,STRAT_222_REVERSAL,AAPL,LONG,later,1,0,0,10,6,2
PRIMARY_20,STRAT_212_REVERSAL,AAPL,LONG,later,1,1,1,10,5,1
PRIMARY_20,STRAT_222_CONTINUATION,AAPL,LONG,later,3,1,0,8,5,2
PRIMARY_20,OTHER:strat_122,AAPL,LONG,later,1,1,0,10,5,2
PRIMARY_20,OTHER:strat_outside_continuation,AAPL,LONG,later,2,1,0,9,5,2
PRIMARY_20,STRAT_322_REVERSAL,AAPL,LONG,later,1,1,0,10,5,2
PRIMARY_20,OTHER:strat_22_continuation,AAPL,LONG,later,1,0,0,10,6,2
PRIMARY_20,STRAT_212_CONTINUATION,AAPL,LONG,later,1,1,1,10,5,1
PRIMARY_20,STRAT_222_CONTINUATION,AAPL,LONG,opening_14:00,1,1,1,1,1,1
PRIMARY_20,OTHER:strat_122,AAPL,LONG,opening_14:00,1,1,1,1,1,1
PRIMARY_20,STRAT_222_REVERSAL,AAPL,SHORT,early_14:30-16:00,1,1,1,4,1,0
PRIMARY_20,OTHER:strat_outside_continuation,AAPL,SHORT,early_14:30-16:00,1,1,0,4,1,1
PRIMARY_20,STRAT_312,AAPL,SHORT,early_14:30-16:00,1,0,0,4,2,1
PRIMARY_20,STRAT_322_CONTINUATION,AAPL,SHORT,early_14:30-16:00,1,0,0,4,2,1
PRIMARY_20,STRAT_212_CONTINUATION,AAPL,SHORT,early_14:30-16:00,1,0,0,4,2,1
PRIMARY_20,STRAT_222_REVERSAL,AAPL,SHORT,later,2,0,0,12,2,0
PRIMARY_20,STRAT_212_REVERSAL,AAPL,SHORT,later,2,1,0,12,1,0
PRIMARY_20,STRAT_222_CONTINUATION,AAPL,SHORT,later,3,0,0,11,2,0
PRIMARY_20,OTHER:strat_122,AAPL,SHORT,later,1,0,0,13,2,0
PRIMARY_20,OTHER:strat_outside_continuation,AAPL,SHORT,later,2,1,0,12,1,0
PRIMARY_20,STRAT_322_REVERSAL,AAPL,SHORT,later,1,0,0,13,2,0
PRIMARY_20,STRAT_312,AAPL,SHORT,later,1,0,0,13,2,0
PRIMARY_20,OTHER:strat_22_continuation,AAPL,SHORT,later,1,0,0,13,2,0
PRIMARY_20,STRAT_322_CONTINUATION,AAPL,SHORT,later,1,0,0,13,2,0
PRIMARY_20,STRAT_222_CONTINUATION,AAPL,SHORT,opening_14:00,1,1,1,0,0,0
PRIMARY_20,STRAT_222_REVERSAL,AMZN,LONG,early_14:30-16:00,2,1,0,6,2,1
PRIMARY_20,STRAT_212_REVERSAL,AMZN,LONG,early_14:30-16:00,2,0,0,6,3,1
PRIMARY_20,STRAT_222_CONTINUATION,AMZN,LONG,early_14:30-16:00,2,0,0,6,3,1
PRIMARY_20,OTHER:strat_22_continuation,AMZN,LONG,early_14:30-16:00,1,1,0,7,2,1
PRIMARY_20,OTHER:strat_inside_break,AMZN,LONG,early_14:30-16:00,1,1,1,7,2,0
PRIMARY_20,STRAT_222_REVERSAL,AMZN,LONG,later,3,0,0,10,2,1
PRIMARY_20,STRAT_212_REVERSAL,AMZN,LONG,later,1,0,0,12,2,1
PRIMARY_20,STRAT_222_CONTINUATION,AMZN,LONG,later,2,0,0,11,2,1
PRIMARY_20,OTHER:strat_122,AMZN,LONG,later,2,1,1,11,1,0
PRIMARY_20,OTHER:strat_outside_continuation,AMZN,LONG,later,2,0,0,11,2,1
PRIMARY_20,STRAT_312,AMZN,LONG,later,1,0,0,12,2,1
PRIMARY_20,OTHER:strat_22_continuation,AMZN,LONG,later,1,0,0,12,2,1
PRIMARY_20,STRAT_322_CONTINUATION,AMZN,LONG,later,1,1,0,12,1,1
PRIMARY_20,STRAT_222_REVERSAL,AMZN,LONG,opening_14:00,1,1,1,0,0,0
PRIMARY_20,STRAT_222_REVERSAL,AMZN,SHORT,early_14:30-16:00,1,0,0,2,1,1
PRIMARY_20,STRAT_222_CONTINUATION,AMZN,SHORT,early_14:30-16:00,1,1,1,2,0,0
PRIMARY_20,OTHER:strat_122,AMZN,SHORT,early_14:30-16:00,1,0,0,2,1,1
PRIMARY_20,STRAT_222_REVERSAL,AMZN,SHORT,later,3,2,1,10,6,4
PRIMARY_20,STRAT_212_REVERSAL,AMZN,SHORT,later,3,2,1,10,6,4
PRIMARY_20,STRAT_222_CONTINUATION,AMZN,SHORT,later,1,0,0,12,8,5
PRIMARY_20,OTHER:strat_122,AMZN,SHORT,later,1,1,1,12,7,4
PRIMARY_20,OTHER:strat_22_continuation,AMZN,SHORT,later,3,2,1,10,6,4
PRIMARY_20,OTHER:strat_inside_break,AMZN,SHORT,later,1,0,0,12,8,5
PRIMARY_20,STRAT_212_CONTINUATION,AMZN,SHORT,later,1,1,1,12,7,4
PRIMARY_20,STRAT_222_REVERSAL,AMZN,SHORT,opening_14:00,2,2,2,2,2,2
PRIMARY_20,STRAT_222_CONTINUATION,AMZN,SHORT,opening_14:00,1,1,1,3,3,3
PRIMARY_20,OTHER:strat_outside_continuation,AMZN,SHORT,opening_14:00,1,1,1,3,3,3
PRIMARY_20,STRAT_222_REVERSAL,BAC,LONG,early_14:30-16:00,1,0,0,5,2,1
PRIMARY_20,STRAT_212_REVERSAL,BAC,LONG,early_14:30-16:00,1,1,0,5,1,1
PRIMARY_20,STRAT_222_CONTINUATION,BAC,LONG,early_14:30-16:00,1,0,0,5,2,1
PRIMARY_20,STRAT_322_REVERSAL,BAC,LONG,early_14:30-16:00,1,1,1,5,1,0
PRIMARY_20,OTHER:strat_22_continuation,BAC,LONG,early_14:30-16:00,1,0,0,5,2,1
PRIMARY_20,OTHER:strat_inside_break,BAC,LONG,early_14:30-16:00,1,0,0,5,2,1
PRIMARY_20,STRAT_222_REVERSAL,BAC,LONG,later,2,2,1,12,5,3
PRIMARY_20,STRAT_212_REVERSAL,BAC,LONG,later,1,1,1,13,6,3
