ambiguous_rate,appearances,baseline_1R_rate,baseline_2R_rate,baseline_first_sight_1R_rate,baseline_inval_first_rate,baseline_matched_n,baseline_median_MFE_R,difference_vs_baseline_1R_pp,difference_vs_baseline_first_sight_1R_pp,evidence_status,family,first_sight_1R_rate,first_sight_2R_rate,first_sight_inval_first_rate,first_sight_median_MFE_R,first_sight_median_final_R,first_sight_priced_n,independent_episodes,invalidation_first_rate,long_count,median_MAE_R,median_MFE_R,median_bars_to_1R,median_final_R,opening_bar_share,population,r05_rate,r15_rate,r1_rate,r1_rate_later,r1_rate_opening,r1_within_2bars,r1_within_4bars,r1_within_6bars,r2_rate,sessions,short_count,symbols,target_first_rate,top_session_share_of_1R_hits,top_symbol_share_of_1R_hits,trigger_rate,triggers,unresolved_rate
0.0,176,46.2,21.3,34.8,21.8,171,1.068,2.1,0.8,ENOUGH_FOR_FOLLOW-UP,STRAT_222_REVERSAL,35.6,11.2,21.2,0.581,-0.149,160,176,10.2,84,-0.672,0.946,1.17,0.152,9.7,PRIMARY_20,71.6,36.4,48.3,43.4,94.1,32.4,40.9,45.5,26.1,5,92,20,79.5,25.9,9.4,100.0,176,10.2
0.0,81,40.8,14.8,32.3,21.3,81,0.863,11.1,11.9,ENOUGH_FOR_FOLLOW-UP,STRAT_212_REVERSAL,44.2,11.7,28.6,0.74,0.244,77,81,12.3,43,-0.822,1.1,1.33,0.085,0.0,PRIMARY_20,71.6,37.0,51.9,51.9,,34.6,44.4,46.9,21.0,5,38,20,81.5,33.3,9.5,100.0,81,6.2
0.0,306,54.1,28.5,41.4,14.9,183,1.122,-6.4,-6.8,ENOUGH_FOR_FOLLOW-UP,STRAT_222_CONTINUATION,34.6,11.4,26.5,0.632,-0.023,185,197,22.3,85,-0.641,0.894,0.83,0.094,18.8,PRIMARY_20,69.5,36.0,47.7,36.2,97.3,36.0,45.7,46.2,27.9,5,112,20,46.7,25.5,9.6,100.0,197,31.0
0.0,60,41.1,17.1,33.5,17.5,60,0.888,10.6,12.1,DESCRIPTIVE_ONLY,OTHER:strat_122,45.6,10.5,17.5,0.903,-0.043,57,60,11.7,27,-0.757,1.018,1.67,0.129,3.3,PRIMARY_20,80.0,23.3,51.7,50.0,100.0,31.7,38.3,43.3,18.3,5,33,20,86.7,22.6,9.7,100.0,60,1.7
0.0,80,46.0,23.5,31.7,21.1,77,0.864,-7.2,-7.0,ENOUGH_FOR_FOLLOW-UP,OTHER:strat_outside_continuation,24.7,4.1,28.8,0.445,-0.154,73,80,21.2,39,-0.686,0.559,0.83,0.018,20.0,PRIMARY_20,60.0,23.8,38.8,23.4,100.0,27.5,30.0,35.0,16.2,5,41,20,43.8,25.8,16.1,100.0,80,35.0
0.0,29,42.3,20.1,38.7,18.0,29,0.792,2.5,-13.7,INSUFFICIENT,STRAT_322_REVERSAL,25.0,8.3,25.0,0.358,-0.233,24,29,20.7,11,-0.588,0.878,0.83,-0.081,3.4,PRIMARY_20,69.0,31.0,44.8,42.9,100.0,31.0,34.5,44.8,20.7,5,18,15,62.1,30.8,23.1,100.0,29,17.2
0.0,21,44.2,13.8,32.2,19.2,21,0.791,3.4,-17.9,INSUFFICIENT,STRAT_312,14.3,4.8,57.1,0.177,0.032,21,21,28.6,11,-1.014,0.875,0.83,-0.244,9.5,PRIMARY_20,66.7,28.6,47.6,42.1,100.0,42.9,42.9,47.6,19.0,5,10,16,57.1,40.0,10.0,100.0,21,14.3
0.0,83,47.3,20.3,35.6,15.3,81,0.93,6.9,1.7,ENOUGH_FOR_FOLLOW-UP,OTHER:strat_22_continuation,37.3,6.7,24.0,0.802,0.136,75,83,18.1,45,-0.588,1.176,1.67,0.416,4.8,PRIMARY_20,78.3,37.3,54.2,51.9,100.0,33.7,47.0,49.4,15.7,5,38,20,53.0,26.7,11.1,100.0,83,28.9
0.0,25,45.0,13.0,30.2,17.0,25,0.863,3.0,1.8,INSUFFICIENT,OTHER:strat_inside_break,32.0,16.0,36.0,0.474,-0.011,25,25,24.0,16,-1.0,0.878,1.67,0.263,0.0,PRIMARY_20,60.0,44.0,48.0,48.0,,28.0,44.0,44.0,40.0,5,9,17,72.0,50.0,16.7,100.0,25,4.0
0.0,24,32.8,14.9,23.3,26.8,22,0.624,-7.8,-14.2,INSUFFICIENT,STRAT_322_CONTINUATION,9.1,0.0,59.1,0.263,-0.335,22,24,41.7,11,-1.073,0.5,0.25,-0.315,12.5,PRIMARY_20,50.0,16.7,25.0,19.0,66.7,20.8,25.0,25.0,12.5,5,13,14,33.3,50.0,33.3,100.0,24,25.0
1.7,59,45.9,15.1,35.7,17.5,59,0.935,6.6,20.7,DESCRIPTIVE_ONLY,STRAT_212_CONTINUATION,56.4,16.4,25.5,1.072,0.242,55,59,22.0,26,-0.816,1.122,1.5,0.017,0.0,PRIMARY_20,67.8,33.9,52.5,52.5,,40.7,49.2,50.8,23.7,5,33,19,71.2,32.3,16.1,100.0,59,5.1
0.1,1501,43.3,19.4,30.5,20.3,1460,0.838,4.7,2.7,ENOUGH_FOR_FOLLOW-UP,STRAT_222_REVERSAL,33.2,11.1,26.7,0.595,-0.044,1372,1501,16.5,741,-0.74,0.947,1.17,0.132,8.0,SECONDARY_148,71.1,32.2,48.0,44.1,93.3,32.4,41.8,45.5,22.9,5,760,148,74.0,24.0,1.5,100.0,1501,9.4
0.2,503,40.0,14.5,28.6,20.2,501,0.821,9.5,7.4,ENOUGH_FOR_FOLLOW-UP,STRAT_212_REVERSAL,36.0,14.8,28.4,0.633,0.031,472,503,13.9,261,-0.855,0.97,1.17,0.184,1.8,SECONDARY_148,72.0,33.6,49.5,48.6,100.0,35.8,43.7,46.3,22.1,5,242,145,81.5,23.7,2.0,100.0,503,4.4
0.1,2256,50.2,23.3,35.0,16.3,1305,0.999,-5.6,-2.9,ENOUGH_FOR_FOLLOW-UP,STRAT_222_CONTINUATION,32.1,11.2,29.2,0.603,0.003,1281,1381,22.9,615,-0.667,0.851,1.085,0.091,11.7,SECONDARY_148,67.6,29.5,44.6,37.6,97.5,32.3,41.0,42.7,21.8,5,766,148,47.3,21.9,1.5,100.0,1381,29.8
0.3,388,44.1,18.7,30.6,19.1,382,0.841,12.9,10.8,ENOUGH_FOR_FOLLOW-UP,OTHER:strat_122,41.4,13.7,26.0,0.792,-0.038,365,388,13.9,193,-0.764,1.145,1.17,0.294,8.2,SECONDARY_148,78.9,39.4,57.0,53.4,96.9,39.9,51.0,54.4,28.9,5,195,140,84.3,23.1,2.3,100.0,388,1.5
0.3,661,48.7,25.0,33.1,19.5,638,0.91,-10.0,-8.3,ENOUGH_FOR_FOLLOW-UP,OTHER:strat_outside_continuation,24.8,7.7,23.5,0.434,-0.054,588,661,15.6,295,-0.6,0.713,0.83,0.088,16.8,SECONDARY_148,63.2,25.3,38.7,27.3,95.5,29.5,35.6,37.2,16.9,5,366,148,49.2,27.3,2.0,100.0,661,34.9
0.0,202,44.2,19.4,32.4,18.5,196,0.849,0.4,-0.2,ENOUGH_FOR_FOLLOW-UP,STRAT_322_REVERSAL,32.2,14.2,24.6,0.512,-0.029,183,202,18.3,97,-0.628,0.795,1.17,0.003,9.4,SECONDARY_148,67.3,33.2,44.6,38.8,100.0,27.2,35.1,40.6,21.8,5,105,118,67.8,22.2,3.3,100.0,202,13.9
0.0,164,43.4,16.5,31.2,19.9,164,0.85,-4.4,-8.3,ENOUGH_FOR_FOLLOW-UP,STRAT_312,22.9,7.2,41.8,0.43,-0.289,153,164,18.9,79,-1.0,0.652,1.17,-0.273,3.0,SECONDARY_148,61.6,25.0,39.0,37.1,100.0,29.9,35.4,37.2,15.9,5,85,107,68.9,25.0,3.1,100.0,164,12.2
0.2,547,47.1,20.1,33.4,17.2,537,0.947,-3.8,-1.7,ENOUGH_FOR_FOLLOW-UP,OTHER:strat_22_continuation,31.7,8.6,32.3,0.633,-0.0,511,547,26.0,271,-0.8,0.849,1.5,0.021,4.8,SECONDARY_148,68.0,27.1,43.3,40.5,100.0,27.8,38.2,41.0,15.9,5,276,147,46.8,22.8,2.1,100.0,547,27.1
0.0,132,41.0,13.4,29.8,21.3,132,0.796,17.3,8.7,ENOUGH_FOR_FOLLOW-UP,OTHER:strat_inside_break,38.5,20.0,26.9,0.745,-0.11,130,132,9.8,75,-1.0,1.3,1.17,0.209,0.0,SECONDARY_148,76.5,45.5,58.3,58.3,,40.9,55.3,56.1,36.4,5,57,88,89.4,26.0,3.9,100.0,132,0.8
0.0,274,46.2,21.5,30.4,17.6,269,0.859,-3.5,-4.2,ENOUGH_FOR_FOLLOW-UP,STRAT_322_CONTINUATION,26.2,7.8,29.3,0.465,-0.075,256,274,20.8,119,-0.671,0.863,1.0,0.078,12.8,SECONDARY_148,68.6,28.1,42.7,36.8,82.9,32.1,37.6,39.8,19.3,5,155,127,50.0,25.6,3.4,100.0,274,29.2
0.5,443,42.1,16.2,31.4,19.1,442,0.866,11.9,6.8,ENOUGH_FOR_FOLLOW-UP,STRAT_212_CONTINUATION,38.2,14.0,29.5,0.755,-0.082,414,443,17.2,201,-0.934,1.083,1.17,0.046,0.9,SECONDARY_148,74.5,36.1,54.0,53.5,100.0,37.9,47.4,51.2,23.7,5,242,143,71.6,23.4,2.9,100.0,443,10.8
