family,ep,m1,m2,minv,mclose,base_m1,fs_n,f1,f2,finv,fclose,fmfe,base_f1,diff,fsdiff
STRAT_222_REVERSAL,159,43.4,19.5,11.3,0.068,42.1,143,35.0,11.2,22.4,-0.1,0.584,32.3,1.3,2.7
STRAT_212_REVERSAL,81,51.9,21.0,12.3,0.085,40.8,77,44.2,11.7,28.6,0.244,0.74,32.3,11.1,11.9
STRAT_222_CONTINUATION,160,36.2,11.9,25.0,-0.048,48.2,148,27.7,4.1,29.7,-0.031,0.576,39.1,-12.0,-11.4
OTHER:strat_122,58,50.0,15.5,12.1,0.102,39.1,55,43.6,7.3,18.2,-0.112,0.894,31.2,10.9,12.4
OTHER:strat_outside_continuation,64,23.4,1.6,26.6,-0.185,36.6,57,14.0,0.0,35.1,-0.207,0.259,28.8,-13.2,-14.8
STRAT_322_REVERSAL,28,42.9,17.9,21.4,-0.117,40.3,23,26.1,8.7,26.1,-0.136,0.321,36.6,2.6,-10.5
STRAT_312,19,42.1,10.5,31.6,-0.267,38.3,19,10.5,0.0,63.2,0.032,0.151,30.3,3.8,-19.8
OTHER:strat_22_continuation,79,51.9,11.4,19.0,0.338,46.0,71,36.6,5.6,25.4,0.136,0.774,34.6,5.9,2.0
OTHER:strat_inside_break,25,48.0,40.0,24.0,0.263,45.0,25,32.0,16.0,36.0,-0.011,0.474,30.2,3.0,1.8
STRAT_322_CONTINUATION,21,19.0,4.8,42.9,-0.394,29.6,19,10.5,0.0,57.9,-0.218,0.257,19.6,-10.6,-9.1
STRAT_212_CONTINUATION,59,52.5,23.7,22.0,0.017,45.9,55,56.4,16.4,25.5,0.242,1.072,35.7,6.6,20.7
