family,dimension,value,episodes,1R_hits,share_of_family_1R_hits
STRAT_222_REVERSAL,session,2026-09-10,44,22,25.9
STRAT_222_REVERSAL,session,2026-09-15,33,20,23.5
STRAT_222_REVERSAL,session,2026-09-14,32,16,18.8
STRAT_222_REVERSAL,session,2026-09-11,35,15,17.6
STRAT_222_REVERSAL,session,2026-09-09,32,12,14.1
STRAT_222_REVERSAL,symbol,TLT,10,8,9.4
STRAT_222_REVERSAL,symbol,QQQ,14,8,9.4
STRAT_222_REVERSAL,symbol,INTC,12,7,8.2
STRAT_222_REVERSAL,symbol,AMZN,12,6,7.1
STRAT_222_REVERSAL,symbol,COIN,11,6,7.1
STRAT_222_REVERSAL,symbol,GOOGL,8,6,7.1
STRAT_222_REVERSAL,symbol,WMT,11,6,7.1
STRAT_222_REVERSAL,symbol,GE,12,5,5.9
STRAT_222_REVERSAL,symbol,NFLX,9,5,5.9
STRAT_222_REVERSAL,symbol,NVDA,10,5,5.9
STRAT_222_REVERSAL,symbol,JPM,9,4,4.7
STRAT_222_REVERSAL,symbol,XOM,14,4,4.7
STRAT_222_REVERSAL,symbol,BAC,7,3,3.5
STRAT_222_REVERSAL,symbol,MSFT,5,3,3.5
STRAT_222_REVERSAL,symbol,AAPL,5,2,2.4
STRAT_222_REVERSAL,symbol,IWM,7,2,2.4
STRAT_222_REVERSAL,symbol,TSLA,5,2,2.4
STRAT_222_REVERSAL,symbol,PLTR,7,2,2.4
STRAT_222_REVERSAL,symbol,MRK,3,1,1.2
STRAT_222_REVERSAL,direction,SHORT,92,46,54.1
STRAT_222_REVERSAL,direction,LONG,84,39,45.9
STRAT_222_REVERSAL,clock,later,108,46,54.1
STRAT_222_REVERSAL,clock,early_14:30-16:00,51,23,27.1
STRAT_222_REVERSAL,clock,opening_14:00,17,16,18.8
STRAT_212_REVERSAL,session,2026-09-15,22,14,33.3
STRAT_212_REVERSAL,session,2026-09-10,15,9,21.4
STRAT_212_REVERSAL,session,2026-09-11,18,8,19.0
STRAT_212_REVERSAL,session,2026-09-09,18,7,16.7
STRAT_212_REVERSAL,session,2026-09-14,8,4,9.5
STRAT_212_REVERSAL,symbol,BAC,4,4,9.5
STRAT_212_REVERSAL,symbol,MRK,5,4,9.5
STRAT_212_REVERSAL,symbol,TSLA,4,4,9.5
STRAT_212_REVERSAL,symbol,GE,6,4,9.5
STRAT_212_REVERSAL,symbol,MSFT,5,3,7.1
STRAT_212_REVERSAL,symbol,NFLX,6,3,7.1
STRAT_212_REVERSAL,symbol,INTC,3,3,7.1
STRAT_212_REVERSAL,symbol,WMT,4,3,7.1
STRAT_212_REVERSAL,symbol,AAPL,4,3,7.1
STRAT_212_REVERSAL,symbol,XOM,4,2,4.8
STRAT_212_REVERSAL,symbol,GOOGL,3,2,4.8
STRAT_212_REVERSAL,symbol,AMZN,6,2,4.8
STRAT_212_REVERSAL,symbol,COIN,5,1,2.4
STRAT_212_REVERSAL,symbol,QQQ,4,1,2.4
STRAT_212_REVERSAL,symbol,SPY,5,1,2.4
STRAT_212_REVERSAL,symbol,IWM,3,1,2.4
STRAT_212_REVERSAL,symbol,TLT,4,1,2.4
STRAT_212_REVERSAL,direction,SHORT,38,24,57.1
STRAT_212_REVERSAL,direction,LONG,43,18,42.9
STRAT_212_REVERSAL,clock,later,45,25,59.5
STRAT_212_REVERSAL,clock,early_14:30-16:00,36,17,40.5
STRAT_222_CONTINUATION,session,2026-09-14,40,24,25.5
STRAT_222_CONTINUATION,session,2026-09-15,40,22,23.4
STRAT_222_CONTINUATION,session,2026-09-11,46,19,20.2
STRAT_222_CONTINUATION,session,2026-09-10,38,18,19.1
STRAT_222_CONTINUATION,session,2026-09-09,33,11,11.7
STRAT_222_CONTINUATION,symbol,IWM,13,9,9.6
STRAT_222_CONTINUATION,symbol,TLT,11,7,7.4
STRAT_222_CONTINUATION,symbol,NFLX,10,7,7.4
STRAT_222_CONTINUATION,symbol,GE,12,6,6.4
STRAT_222_CONTINUATION,symbol,MSFT,13,6,6.4
STRAT_222_CONTINUATION,symbol,QQQ,12,6,6.4
STRAT_222_CONTINUATION,symbol,SPY,10,6,6.4
STRAT_222_CONTINUATION,symbol,JPM,8,5,5.3
STRAT_222_CONTINUATION,symbol,GOOGL,11,5,5.3
STRAT_222_CONTINUATION,symbol,WMT,13,5,5.3
STRAT_222_CONTINUATION,symbol,COIN,9,4,4.3
STRAT_222_CONTINUATION,symbol,PLTR,9,4,4.3
STRAT_222_CONTINUATION,symbol,XOM,9,4,4.3
STRAT_222_CONTINUATION,symbol,AAPL,8,3,3.2
STRAT_222_CONTINUATION,symbol,MRK,5,3,3.2
STRAT_222_CONTINUATION,symbol,TSLA,9,3,3.2
STRAT_222_CONTINUATION,symbol,INTC,12,3,3.2
STRAT_222_CONTINUATION,symbol,BAC,9,3,3.2
STRAT_222_CONTINUATION,symbol,NVDA,7,3,3.2
STRAT_222_CONTINUATION,symbol,AMZN,7,2,2.1
STRAT_222_CONTINUATION,direction,SHORT,112,65,69.1
STRAT_222_CONTINUATION,direction,LONG,85,29,30.9
STRAT_222_CONTINUATION,clock,later,110,42,44.7
STRAT_222_CONTINUATION,clock,opening_14:00,37,36,38.3
